ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу
2026362,ARCOPY,Горбунов Д.В.,,,,Копировщик,,,,,Архиватор-копировщик 'профессионального' уровня. Позволяет копировать файлы со сжатием (алгоритм лемпеля-зива-велча + кодировка Хаффмана адаптированный под сжатие 16-битных слов). Нативный драйвер магнитофона с квантизацией ниблами разработан Ляпидевским П.В.,kopir_arccopy1.zip,ARCOPY v.2.3 ,,,,,,,,,,,,,,,,,,,,,
2026363,TRD-COPY,Сотченко Д.,,,,Утилита,,,,,Программа TRD-COPY позволяет копировать информацию с дисков TR-DOS (ZX Spectrum) и на них в двоичном виде или в виде экранных файлов с перекодировкой цветов. Имеет функцию поиска спрайтов в программах компьютера Spectrum.,trd-copy-v.1.1.zip,TRD-COPY v.1.1,,,,,,,,,,,,,,,,,,,,,
2026364,CF,Королев М.,,,,Копировщик,,,,,"Профессиональный копировщик, предназначен для копирования файлов БК0010(01) записанных на МЛ, а также на МД. Реально берет файлы с адресами загрузки от 372 и конечным адресом до 63000 (70000 в версии для ПЗУ)",cf-v.5.0.zip,CF v.5.0,,,,,,,,,,,,,,,,,,,,,
2026365,UNPACK,Королев М.,,,,Утилита,,,,,Распаковщик файлов упакованных программой BKPACK,unpack1_01.zip,UNPACK v.1.01,,,,,,,,,,,,,,,,,,,,,
2026366,FASTCOPY,Фионов А.,,,,Копировщик,,,,,Программа копирования и удаления групп файлов. Данная программа работает только с дисками в формате ANDOS и в среде ANDOS.,fastcopy.zip,"FASTCOPY v.3.2, v.3.3",,,,,,,,,,,,,,,,,,,,,
2026367,UNIVERSAL COPY,Чурин Д.,,,,Копировщик,,,,,Универсальная программа копирования дисков в режиме 'один к одному',uc-v0.3.zip,UNIVERSAL COPY v.0.3,,,,,,,,,,,,,,,,,,,,,
2026368,HELP,"Шиколенков Т., Ильчухин П.",,,,Копировщик,,,,,Копировщик HELP12.DEM является модернизацией копировщика HELP7E — HELP 12 (ДЕМО),help-12-demo.zip,,,,,,,,,,,,,,,,,,,,,,
2026370,EDALT 3,,,,,Текстовый редактор,,,,,Текстовый редактор,edalt-3.zip,,,,,,,,,,,,,,,,,,,,,,
2026371,EDALT VIEWER,,,,,Читалка,,,,,Читалка эдальтовских текстов,edalt-viewer-v.2.02.zip,,,,,,,,,,,,,,,,,,,,,,
2026372,EDSORT3,,,,,Текстовый редактор,,,,,Сортирующий экранный редактор,edsort3.zip,,,,,,,,,,,,,,,,,,,,,,
2026373,LPFONT,,,,,Утилита,,,,,Система формирования символов пользователя. Предназначена для формирования черновиковых символов загружаемого знакогенератора EPSON-совместимых принтеров и позволяет определять новые символы или изменять начертание существующих. В архиве есть подробная инструкция.,lpfont-v.5.0.zip,LPFONT v.5.0,,,,,,,,,,,,,,,,,,,,,
2026374,VEX,,,,,Утилита,,,,,Конвертер Vortex - EDASP,vex.zip,,,,,,,,,,,,,,,,,,,,,,
2026375,VEXTUR,,,,,Утилита,,,,,Конвертер файлов Vortex - TURBO,vextur.zip,,,,,,,,,,,,,,,,,,,,,,
2026376,ПРЕОБРАЗОВАТЕЛЬ ТЕКСТА,,,,,Утилита,,,,,Преобразователь текста EDASP5->MICRO#8 и обратно,me_recoder.zip,,,,,,,,,,,,,,,,,,,,,,
2026377,EDASP 8,ASP corp,,,БК0010 (11М),Текстовый редактор,,,,,"Экранный редактор для персонального компьютера БК-0010. Экранный редактор 'EDASP' относится к одному из малочисленных семейств - 'карманным' редакторам ('EDASP' занимает примерно 4К байт памяти). Это семейство представлено такими редакторами, как EDIK, EDA и т.д. Они отличаются высокой надежностью, малым объемом, удобством работы и высокой скоростью. По сравнению с экранными редакторами 'SCREEN' и 'К52' они занимают в 5 раз меньше места на носителе, намного легче в обучении, позволяют создавать компактные выходные файлы. Данный редактор является программой широкого применения, используемой для различной работы с файлами данных.",edasp.7z,,,,,,,,,,,,,,,,,,,,,,
2026378,МИКРОН,BD corp,,,,Текстовый редактор,,,,,"Так как разобраться с драйвером принтера, который включен в редактор МИКРОН 1.1 доступно не каждому, автор, предвидя всевозможные переделки, сам внес необходимые изменения в редактор, чтобы он работал с принтером по протоколу ИРПР",micron1_1.7z,МИКРОН 1.1,micron1_1(1).7z,МИКРОН 1.1+,,,,,,,,,,,,,,,,,,,
2026379,TEXT,,,,БК0010 (11М),Текстовый редактор,,,,,"Текстовый редактор для БК0010, БК0010Ш, БК0010-01",text.7z,,,,,,,,,,,,,,,,,,,,,,
2026380,BKTEXT,FireSoft,,,,Читалка,,,,,"Данная программа работает на IBM совместимых машинах и позволяет просматривать текстовые файлы БК, набранные в форматах Edasp, Micro и Vortex (без шрифтов), а также, конвертировать их в альтернативную кодировку",bktext.zip,,,,,,,,,,,,,,,,,,,,,,
2026381,БК - PAGEMAKER,MIKsoft,,,БК0011М,Текстовый редактор,,,,,Система компьютерной верстки для БК-0011М,pagemaker-v.1.4.zip,,БК - PAGEMAKER v.1.4,,,,,,,,,,,,,,,,,,,,
