ID,Название,Авторы,Издатель,Год выпуска,Платформа,Жанр,Дата выхода,Графика,Музыка,Язык интерфейса,Описание,Имя файла 1,Описание файла 1,Имя файла 2,Описание файла 2,Имя файла 3,Описание файла 3,Имя файла 4,Описание файла 4,Имя файла 5,Описание файла 5,Скриншот 1,Скриншот 2,Скриншот 3,Скриншот 4,Скриншот 5,Скриншот 6,Скриншот 7,Скриншот 8,Скриншот 9,Скриншот 10,Скриншот 11,Скриншот 12,Ссылка на страницу,Дата добавления,Видео,Исходники,ГитХаб
48350,BOLDER DASH 5,"Мелентьев А.В., OldGame «Старые Игры», Мелентьев А.В., Валтер Н. (WEX)",OldGame «Старые Игры»,2023,БК0010,"Аркада, Лабиринт, Логическая",31.10.2023,"Мелентьев А.В., Валтер Н. (WEX)",,Русский,"Лицензионная версия игры BOLDER DASH 5, с новыми, самыми сложными уровнями из всех существующих. За основу взята оригинальная версия игры 1989г, новые лабиринты 2023 года. Ваша задача: Собрать все алмазы в лабиринте и перейти в следующий. Попадаться в руки к бабочкам и минам, а так же оказаться под",bolder_dash5f2ac.zip,,,,,,,,,,bolder_dash5_3.png,bolder_dash5_2.png,bolder_dash5_4.png,bolder_dash5_6.png,bolder_dash5_1.png,bolder_dash5_5.png,,,,,,,https://r-games.net/48350-bolder-dash-5.html,,,,
48351,BOLDER DASH 6,"Мелентьев А.В., OldGame «Старые Игры», Мелентьев А.В., Валтер Н. (WEX)",OldGame «Старые Игры»,2023,БК0010,"Аркада, Лабиринт, Логическая",2023,"Мелентьев А.В., Валтер Н. (WEX)",,Русский,"Лицензионная версия игры BOLDER DASH 6, с новыми уровнями. За основу взята оригинальная версия игры 1989г, новые лабиринты 2023 года. Ваша задача: Собрать все алмазы в лабиринте и перейти в следующий. Попадаться в руки к бабочкам и минам, а так же оказаться под падающими камнями или алмазами,",bolder-dash6_2_0_ligth1b3e.zip,,bolder-dash6_1_0_hard8ab3.zip,,,,,,,,bolder_dash_6_4.png,bolder_dash_6_1.png,bolder_dash_6_2.png,bolder_dash_6_3.png,bolder_dash_6_5.png,,,,,,,,https://r-games.net/48351-bolder-dash-6.html,,,,
48362,CAVES OF NORAF,"Александр Тишин (Sandro), Владимир Кутяков (KUVO)",,2023,БК0010,Квест,2023,"Владимир Кутяков ""KUVO""",,Английский,"Давно ли вы слышали истории о глубокой пещере НОРАФ, которая некогда была логовом злого волшебника? Некоторые говорят, что в её недрах скрыты несметные богатства, а другие — что там обитают ужасные монстры, готовые поглотить всё живое. И возможно, правда кроется где-то посередине. В пещеру входили",caves10d77f.zip,,,,,,,,,,caves_1.png,caves_2.png,caves_6.png,caves_5.png,caves_4.png,caves_3.png,,,,,,,https://r-games.net/48362-caves-of-noraf.html,,,,
48345,THE GOONIES,Сизых Павел (grf/grfmaniak),Grf Games,2023,БК0011М,Платформа,2023,,,Английский,"Игра The Goonies представляет собой платформенную аркаду, с минимальной привязкой к сюжету одноименного фильма. Данная игра является ремейком The Goonies, разработанной компанией Konami для Sony MSX в 1986 году. Версия для БК максимально приближена к оригиналу, по качеству графики и музыкальному сопровождению (AY-3-8910) ничем ей не уступающая.",goonies_release1v7a4ad.zip,,goonies_release1v8.zip,Фикс The Goonies,,,,,,,2_.png,1_.png,3_.png,4_.png,6_.png,,,,,,,,https://r-games.net/48345-the-goonies.html,,,,
48327,DESOLATE,"Patrick Prendergast (tr1p1ea), Никита Зимин (nzeemin), Александр Тишин (Sandro)",,2021,БК0011М,Логическая,2021,,,Английский,"Desolate - ролевая игра изначально разработана для калькуляторов серии TI-83/84 (+) Patrick Prendergast (tr1p1ea) в 2004г. В игре несколько головоломок, которые нужно решить, чтобы дойти до конца игры. В 2020г Никита Зимин (nzeemin) портировал игру на компьютер УК-НЦ, в 2021 году версия с УК-НЦ адаптированна для БК0011М Alexander ""Sandro"" Tishin. Сюжет игры. Космический крейсер ""The Desolate"" покидает орбиту. Его миссия секрет, груз засекречен. В 6014 цикл путешествия, корабль попадает в метеоритный дождь. Связь с ""The Desolate"" утеряна. Корабль получил серьезные повреждения. На борту корабля в криогенной инкубационной камере завершается реанимация. Обитатель выходит из камеры не зная кто он и что делать. Управление -- стрелки, пробел/ввод -- действие, Q переключает стрельбу/исследование, I - инвентарь, P - пауза/меню. Коды к замкам при повторном прохождении не подходят (кроме замков первого уровня).",desolate017e41.zip,,,,,,,,,,1626428542_3.png,1626428575_5.png,1626428553_1.png,1626428619_4.png,1626428633_6.png,1626428537_2.png,,,,,,,https://r-games.net/48327-desolate.html,,,,
48297,PONG CHARGED,Мачуговский А. (Manwe/SandS),STROGINO PC,2021,БК0010,Аркада,2021,Manwe/SandS,,Английский,"Pong является спортивным симулятором настольного тенниса. Пинг-понговый мячик, двигается по экрану по линейной траектории. Если он ударяется о периметр игрового поля, то его траектория изменяется в зависимости от угла столкновения. Если шарик отбивается ракеткой игрока, то его движение дополнительно зависит от скорости и направления движения ракетки. Игровой процесс состоит в том, что игроки передвигают свои ракетки вертикально для защиты своих ворот. В начале каждого раунда мячик подаётся одному из игроков, и раунд продолжается до тех пор, пока один из игроков не заработает очко. Это происходит тогда, когда его противник не может отбить мячик. Со временем игры скорость движения мячика постепенно увеличивается, и так игра усложняется. Играть можно 2 игрокам или против компьютера, для управления лучше использовать джойстик.",pong-charhed-bk00107fc8.zip,,,,,,,,,,1612787394_1.png,1612787433_4.png,1612787399_2.png,1612787397_3.png,1612787415_6.png,1612787369_5.png,,,,,,,https://r-games.net/48297-pong-charged.html,,,,
154,PRINCE OF PERSIA (БК0011М),"Пашигоров Евгений, Сизых Павел (grf/grfmaniak)",Flame software,2021,БК0011М,Лабиринт,2021,Сизых Павел,Сизых Павел,Английский,"Невероятное событие, спустя 27 лет вышла новая игра Prince of Persia для БК0011М. Авторы проделали титанический труд, игра на высшем уровне. Графика, спецэффекты и геймплей не уступают оригиналу от Джордана Мекнера, а возможно где то и опережают его. Сюжет игры: Действие игры происходит в Персии.",prince_release1v32738.zip,,,,,,,,,,1640591080_2.png,1640591077_1.png,1640591082_3.png,1640591084_5.png,1640591083_4.png,,,,,,,,https://r-games.net/154-prince-persia-bk0011m.html,,,,
48298,TRON,"Насыров Дамир (Adam Bazaroff), Мачуговский А. (Manwe/SandS)",Adam Bazaroff/Excess team,2021,БК0010,"Аркада, Ралли",2021,Adam Bazaroff/Excess team,Manwe/SandS,Английский,"Простая игра для 2-х игроков. Каждый игрок управляет своим световым мотоциклом. Кто первым врежется в стену или в Jetwall (реактивная стена, созданная световым мотоциклом) тот и проиграл. У каждого игрока несколько жизней. Управление в игре возможно с помощью клавиатуры и джойстика или два джойстика (JoyVox).",tron1b72.zip,,,,,,,,,,1615273212_1.png,1615273223_3.png,1615273245_6.png,1615273197_2.png,1615273265_5.png,1615273196_4.png,,,,,,,https://r-games.net/48298-tron.html,,,,
48342,ДИЗЗИ: ЗИМНЕЕ ПРИКЛЮЧЕНИЕ,Щербаковский Сергей (mdk),,2021,БК0010 (11М),Квест,2021,,,Русский,"Ремейк игры ""Log Cabin Dizzy"" для платформы ZX-Spectrum.",dizzy20213e75.zip,,dizzy2021_bkd77fd.zip,,,,,,,,3.png,1.png,4.png,5.png,2.png,,,,,,,,https://r-games.net/48342-dizzi-zimnee-prikljuchenie.html,,,,
48281,STOP THE EXPRESS,Никита Зимин (nzeemin),,2019,БК0010,"Аркада, Демо",2019.10.11,,,Английский,"Портированная версия игры с ZX SPECTRUM Плохие парни захватили поезд, вам нужно добраться до локомотива и остановить его. Stage 1 проходит на крышах вагонов, затем Stage 2 уже внутри. От автора. Памяти у БК-0010 всего 16 КБ, поэтому многое убрано:- убрана последовательность демо-режима, поэтому в демо ГГ просто стоит; - большинство тайлов имеют размер 8x4 пикселов, 4 цвета; тайлы символов и цифр 8x5 в 4 цвета; - убран блок тайлов и сами тайлы локомотива, это используется после прохождения уровней; - экран описания показывается только один раз в начале игры, потом это место используется. Игра НЕ завершена, кое-что ещё нужно доделать: - Управление пока дубовое - Есть проблемы в прохождении Stage 2 - Нет концовки ",express-rev11-2018_09_25bd6c.zip,,express-rev19-2019_10_11919f.zip,,,,,,,,1584600120_1.png,1584600166_3.png,1584600085_4.png,1584600080_2.png,,,,,,,,,https://r-games.net/48281-stop-the-express.html,,,Ссылка,https://github.com/nzeemin/bk0010-stopexpress
